Area,Data label,2016,2011,2006,2001
Australia,All Other Languages,120438,77987,52080,62032
Australia,Fijian Hindustani,2702,1406,,
Australia,Chin Haka,4807,828,,
Australia,Arabic,321720,287171,243661,209121
Australia,Australian Indigenous Languages,64761,61749,55699,50538
Australia,Cantonese,280943,263538,244557,225088
Australia,Mandarin,596703,336178,220604,139114
Australia,Croatian,56885,61545,63617,69748
Australia,Dutch,33826,37247,36185,40058
Australia,Filipino/Tagalog,182498,136846,92327,78760
Australia,French,70878,57741,43216,39551
Australia,German,79352,80366,75636,76215
Australia,Greek,237583,252211,252226,263487
Australia,Hindi,159637,111349,70006,47766
Australia,Hungarian,19890,20875,21559,24413
Australia,Indonesian,67894,55861,42037,38698
Australia,Persian,58312,34563,22843,25211
Australia,Italian,271602,299829,316894,353229
Australia,Japanese,55958,43690,35111,28245
Australia,Khmer,35429,29518,24710,21952
Australia,Korean,108994,79784,54624,39458
Australia,Macedonian,66020,68843,67833,71982
Australia,Maltese,31993,34398,36518,41347
Australia,Polish,48070,50696,53390,58992
Australia,Portuguese,48856,33348,25777,23650
Australia,Russian,50312,44054,36503,34741
Australia,Samoan,44875,36574,28528,22703
Australia,Serbian,53800,55114,52530,49152
Australia,Sinhalese,64613,48192,29056,20660
Australia,Spanish,140813,117493,98002,93410
Australia,Tamil,73161,50145,32704,24029
Australia,Turkish,58356,59625,53858,50606
Australia,Vietnamese,277391,233388,194854,174027
Australia,Afrikaans,43748,35027,16809,7979
Australia,Albanian,9183,8945,7858,7551
Australia,Amharic,6813,4515,2854,1454
Australia,Armenian,10205,9706,9622,9742
Australia,Assyrian/Aramaic,45690,31317,23522,18067
Australia,Auslan,10118,8406,5536,3276
Australia,Bengali,54552,35647,20220,11646
Australia,Bosnian,15822,16266,15738,15916
Australia,Bulgarian,2679,2316,1984,1899
Australia,Burmese,16321,12337,7458,5886
Australia,"Chinese, nfd",19974,23792,11667,14566
Australia,Czech,7940,7270,6901,7238
Australia,Danish,5777,5751,5443,5196
Australia,Dinka,12692,9807,6597,
Australia,Estonian,1836,1417,1251,1628
Australia,Fijian,8148,6827,5254,4873
Australia,Finnish,5979,5971,5873,6219
Australia,Gujarati,52871,34210,11873,5475
Australia,Hakka,8978,8912,7963,7445
Australia,Hebrew,10344,9666,7569,5901
Australia,Hmong,2452,2023,2013,1787
Australia,Min Nan (incl.Hokkien),17900,16352,14137,12993
Australia,Not Stated,1509833,1093228,1136825,923853
Australia,"Indo-Aryan, nfd",1391,4229,5091,1721
Australia,Kannada,9698,5925,3252,1934
Australia,Karen,10267,6399,783,
Australia,Kurdish,6202,4590,3597,2839
Australia,Lao,9985,9539,9374,9567
Australia,Latvian,2952,3627,4178,5335
Australia,Malay,17936,15893,11361,9397
Australia,Malayalam,53203,25108,7089,3006
Australia,Maori (Cook Island),5119,4635,3647,3216
Australia,Maori (New Zealand),11746,9977,6616,5456
Australia,Marathi,13057,8570,4047,2256
Australia,Nepali,62005,27156,4654,2497
Australia,Non-verbal so described,33166,21907,27001,11817
Australia,Norwegian,2895,2673,2296,2865
Australia,Nuer,2158,1700,1196,
Australia,Oromo,3047,2027,996,549
Australia,Pashto,9234,4799,2568,1604
Australia,Punjabi,132500,71231,23163,14894
Australia,Romanian,12954,12251,10897,10253
Australia,"Serbo-Croatian Yugoslavian, so described",6062,6688,9314,
Australia,Shona,11039,8004,2795,383
Australia,Slovak,5432,4992,4577,4675
Australia,Slovene,4083,4185,4312,5077
Australia,Somali,14174,9912,6650,4723
Australia,Swahili,11463,6884,3053,1401
Australia,Swedish,8959,7329,5903,4973
Australia,Telugu,34434,18723,8279,3485
Australia,Tetum,1107,954,843,728
Australia,Thai,55438,36665,23643,17293
Australia,Tibetan,1479,743,394,
Australia,Tokelauan,956,860,605,
Australia,Tongan,17694,16005,12727,10550
Australia,Tswana,444,440,507,
Australia,Ukrainian,7675,7761,9017,10698
Australia,Urdu,69295,36835,19289,12476
Australia,Uygur,1020,872,369,
Australia,Wu,3380,2064,1527,1023
Australia,Yiddish,1502,1762,1905,2667
Australia,Tigrinya,4579,2792,,
Australia,Dari,30426,20174,14311,
Australia,"Hazaraghi
",22269,7609,,
Australia,Total population,23401906,21507724,19855272,18724319
Greater Capital Cities,All Other Languages,92841,59390,40969,45366
Greater Capital Cities,Fijian Hindustani,2428,1252,,
Greater Capital Cities,Chin Haka,4633,753,,
Greater Capital Cities,Arabic,303849,272053,233717,201416
Greater Capital Cities,Australian Indigenous Languages,4173,3895,5304,2859
Greater Capital Cities,Cantonese,264339,248543,230847,212328
Greater Capital Cities,Mandarin,545372,310587,205214,130418
Greater Capital Cities,Croatian,46607,50296,52064,57336
Greater Capital Cities,Dutch,22612,24733,23941,26897
Greater Capital Cities,Filipino/Tagalog,146655,113029,79665,68507
Greater Capital Cities,French,55999,45461,34276,31909
Greater Capital Cities,German,54053,54295,50506,51458
Greater Capital Cities,Greek,221338,234758,234725,244932
Greater Capital Cities,Hindi,146412,102455,65127,44406
Greater Capital Cities,Hungarian,16222,17115,17815,20355
Greater Capital Cities,Indonesian,61400,50663,38286,35330
Greater Capital Cities,Persian,53140,31383,20934,23367
Greater Capital Cities,Italian,230331,253158,267841,298475
Greater Capital Cities,Japanese,40652,31473,25600,20881
Greater Capital Cities,Khmer,33688,28289,23972,21281
Greater Capital Cities,Korean,96563,71380,49857,36511
Greater Capital Cities,Macedonian,54111,56137,55015,58164
Greater Capital Cities,Maltese,28695,30979,32989,37390
Greater Capital Cities,Polish,41004,43282,45653,50249
Greater Capital Cities,Portuguese,40676,27581,21709,20271
Greater Capital Cities,Russian,44576,39420,33093,31823
Greater Capital Cities,Samoan,41438,33517,26482,21039
Greater Capital Cities,Serbian,46734,47899,45655,42699
Greater Capital Cities,Sinhalese,58321,44034,26911,19080
Greater Capital Cities,Spanish,121430,101567,85236,82002
Greater Capital Cities,Tamil,67177,45941,30263,22151
Greater Capital Cities,Turkish,53675,54793,49023,45898
Greater Capital Cities,Vietnamese,262521,221903,186661,166850
Greater Capital Cities,Afrikaans,29900,23507,11480,5978
Greater Capital Cities,Albanian,8240,7913,6842,6516
Greater Capital Cities,Amharic,6435,4231,2757,1373
Greater Capital Cities,Armenian,9966,9540,9474,9551
Greater Capital Cities,Assyrian/Aramaic,45238,31048,23297,17883
Greater Capital Cities,Auslan,7160,6032,3981,2419
Greater Capital Cities,Bengali,49073,32040,18252,10376
Greater Capital Cities,Bosnian,14303,14670,14137,14403
Greater Capital Cities,Bulgarian,2374,2066,1768,1672
Greater Capital Cities,Burmese,14641,11184,6928,5562
Greater Capital Cities,"Chinese, nfd",17318,20699,10366,13549
Greater Capital Cities,Czech,6260,5662,5449,5962
Greater Capital Cities,Danish,3996,3947,3762,3812
Greater Capital Cities,Dinka,10867,8092,5769,
Greater Capital Cities,Estonian,1360,1001,972,1362
Greater Capital Cities,Fijian,6077,5231,4285,4034
Greater Capital Cities,Finnish,3722,3720,3596,3808
Greater Capital Cities,Gujarati,48505,31995,11127,5120
Greater Capital Cities,Hakka,8679,8621,7671,7079
Greater Capital Cities,Hebrew,9381,8701,6905,5491
Greater Capital Cities,Hmong,1677,1448,1286,1019
Greater Capital Cities,Min Nan (incl.Hokkien),17038,15661,13575,12434
Greater Capital Cities,Not Stated,883723,685407,750802,577334
Greater Capital Cities,"Indo-Aryan, nfd",1239,3402,4610,1622
Greater Capital Cities,Kannada,8902,5476,2993,1817
Greater Capital Cities,Karen,7366,4932,766,
Greater Capital Cities,Kurdish,5849,4378,3435,2673
Greater Capital Cities,Lao,8545,8263,8108,8311
Greater Capital Cities,Latvian,2333,2913,3405,4497
Greater Capital Cities,Malay,14437,13358,8822,6857
Greater Capital Cities,Malayalam,41975,21075,6399,2836
Greater Capital Cities,Maori (Cook Island),3920,3532,3061,2647
Greater Capital Cities,Maori (New Zealand),8475,6974,4816,3958
Greater Capital Cities,Marathi,12104,7963,3746,2076
Greater Capital Cities,Nepali,54713,24533,4312,2288
Greater Capital Cities,Non-verbal so described,27222,17041,19763,8891
Greater Capital Cities,Norwegian,1978,1884,1624,1999
Greater Capital Cities,Nuer,1752,1341,1094,
Greater Capital Cities,Oromo,2942,1964,990,551
Greater Capital Cities,Pashto,8288,4361,2420,1532
Greater Capital Cities,Punjabi,115388,63266,19744,12001
Greater Capital Cities,Romanian,11485,11036,9962,9394
Greater Capital Cities,"Serbo-Croatian Yugoslavian, so described",4865,5306,7424,
Greater Capital Cities,Shona,8180,5811,1916,310
Greater Capital Cities,Slovak,4702,4350,4023,4057
Greater Capital Cities,Slovene,3109,3161,3247,3849
Greater Capital Cities,Somali,13709,9614,6557,4631
Greater Capital Cities,Swahili,9082,5428,2526,1019
Greater Capital Cities,Swedish,6484,5298,4283,3451
Greater Capital Cities,Telugu,30522,16710,7550,3203
Greater Capital Cities,Tetum,974,922,804,660
Greater Capital Cities,Thai,44310,29065,19110,13926
Greater Capital Cities,Tibetan,1296,624,345,
Greater Capital Cities,Tokelauan,690,569,431,
Greater Capital Cities,Tongan,14898,13183,10797,8871
Greater Capital Cities,Tswana,283,289,355,
Greater Capital Cities,Ukrainian,6333,6277,7269,8454
Greater Capital Cities,Urdu,62818,33221,17507,11335
Greater Capital Cities,Uygur,997,872,365,
Greater Capital Cities,Wu,3269,2010,1479,968
Greater Capital Cities,Yiddish,1463,1714,1845,2600
Greater Capital Cities,Tigrinya,4240,2635,,
Greater Capital Cities,Dari,28073,18725,13329,
Greater Capital Cities,"Hazaraghi
",19616,6793,,
Greater Capital Cities,Total population,15178765,13743980,12593518,11812078